x=469, y=795..816
x=478, y=1441..1442
x=484, y=1286..1289
y=289, x=475..560
x=610, y=1310..1312
x=590, y=1328..1339
y=467, x=502..518
x=494, y=1544..1548
y=1156, x=586..599
x=611, y=1369..1371
y=1737, x=542..549
x=533, y=399..420
y=1719, x=516..531
x=572, y=1685..1697
y=1545, x=592..596
y=1326, x=476..497
x=600, y=645..653
x=495, y=1796..1813
x=533, y=1580..1594
x=572, y=527..536
y=558, x=626..634
y=1594, x=533..566
y=310, x=560..578
x=513, y=139..160
x=481, y=68..72
x=467, y=1302..1308
y=680, x=492..494
y=199, x=553..562
y=1433, x=482..489
x=529, y=1577..1600
x=476, y=68..72
x=634, y=417..441
x=473, y=252..262
y=54, x=547..569
y=902, x=543..561
x=502, y=1731..1742
x=607, y=330..340
y=750, x=465..546
y=1371, x=611..620
x=482, y=1428..1433
x=582, y=1592..1604
y=1334, x=618..636
x=579, y=32..46
y=579, x=577..604
x=535, y=1532..1541
x=559, y=406..419
y=497, x=501..503
y=1797, x=467..489
y=1675, x=574..590
x=518, y=457..467
x=514, y=173..181
y=1739, x=542..549
x=560, y=276..289
x=573, y=1287..1295
x=515, y=1318..1326
y=1170, x=510..518
y=639, x=513..517
y=403, x=524..527
x=588, y=1257..1259
x=614, y=1428..1437
x=487, y=254..265
y=262, x=473..480
y=94, x=556..579
x=581, y=1388..1405
x=561, y=167..182
x=551, y=694..706
x=575, y=145..160
x=497, y=362..367
y=1175, x=510..518
y=827, x=604..624
x=476, y=1626..1640
x=527, y=502..505
x=603, y=385..403
y=574, x=588..591
y=1350, x=552..556
x=524, y=962..964
x=523, y=202..204
y=1355, x=616..633
x=474, y=1480..1500
x=570, y=1428..1438
x=495, y=418..421
x=490, y=1416..1419
x=506, y=1446..1448
y=1138, x=501..508
x=569, y=1106..1116
y=1614, x=555..578
x=616, y=410..429
x=605, y=348..350
x=491, y=1440..1442
y=1096, x=581..592
x=535, y=1808..1810
y=160, x=575..593
x=507, y=1640..1649
x=537, y=494..504
x=546, y=102..109
x=516, y=1142..1155
x=548, y=653..658
x=561, y=435..439
x=556, y=1644..1657
y=788, x=528..530
x=543, y=849..851
y=877, x=499..524
y=1501, x=536..538
x=495, y=1690..1703
x=615, y=1733..1749
y=1369, x=596..599
y=989, x=572..589
x=577, y=475..479
x=521, y=597..599
x=530, y=1490..1504
y=1459, x=498..501
x=615, y=1392..1401
x=599, y=425..439
x=552, y=547..560
x=577, y=1051..1075
x=524, y=698..703
x=530, y=1121..1134
x=543, y=618..640
x=560, y=1771..1799
x=625, y=591..603
x=569, y=348..351
y=270, x=493..504
y=350, x=602..605
x=603, y=1536..1555
x=541, y=1558..1572
x=607, y=842..866
x=592, y=1183..1192
x=566, y=1315..1320
y=1007, x=506..526
y=1041, x=606..625
x=621, y=229..231
x=507, y=918..932
x=572, y=1124..1126
y=242, x=492..499
y=504, x=537..616
y=102, x=613..615
x=613, y=100..102
y=1089, x=595..621
y=211, x=468..496
x=617, y=83..91
x=522, y=1348..1354
x=584, y=722..732
x=561, y=1625..1635
x=487, y=883..891
x=623, y=1050..1063
x=505, y=1594..1614
x=537, y=427..432
x=618, y=1611..1620
y=1777, x=598..615
x=540, y=1532..1541
